Class;Species;DiamClass;Month;RespMean;stDev;n;se
1;AA;25;7;41.81178226;53.79058334;40;8.505038002
2;AA;25;7;41.77680549;44.63191095;39;7.146825501
1;FS;25;7;15.94676363;14.97722079;35;2.531612375
2;FS;25;7;44.69397598;23.61547628;47;3.444671246
4;FS;25;7;65.70023358;66.57569154;38;10.80000329
4;AA;25;7;58.22292569;41.00084672;42;6.326568
1;FS;10;7;11.80853553;5.393419219;55;0.727248499
2;FS;10;7;20.82168783;10.78917931;59;1.404631504
2;AA;10;7;4.961842524;4.835163327;32;0.854744194
4;FS;10;7;21.70356879;11.28951543;43;1.721634963
1;FS;1;7;6.783035951;5.133203905;46;0.756849625
1;AA;1;7;6.23740642;4.27436595;47;0.623480353
2;AA;1;7;3.589896273;2.263753687;31;0.406582165
4;AA;1;7;4.461926601;2.329412099;26;0.456835298
4;FS;1;7;3.537276763;2.538816336;22;0.541277461
4;AA;10;7;12.9277725;5.52682266;31;0.992646653
2;FS;1;7;19.70538336;13.440218;36;2.240036333
1;AA;10;7;4.499214539;1.817832354;32;0.321350396
4;AA;25;10;29.86624259;27.26957698;22;5.813893347
1;FS;25;10;13.81386741;10.48442864;19;2.405292891
2;FS;25;10;14.14911422;9.512175378;24;1.941664668
4;FS;25;10;33.99117435;42.78818828;21;9.337148173
1;AA;25;10;43.08771882;70.94307208;16;17.73576802
2;AA;25;10;20.01302406;32.52335162;21;7.097177174
1;AA;10;10;1.080902123;0.478094767;48;0.069007036
2;FS;10;10;2.532964851;1.380018802;49;0.197145543
4;AA;10;10;2.289172909;1.753070576;42;0.270504663
4;FS;10;10;2.427988842;1.317442575;47;0.19216875
1;FS;10;10;2.201747847;1.140772397;47;0.166398756
2;AA;10;10;0.849195745;0.562955305;45;0.083920422
2;AA;1;10;2.021804233;0.927508609;32;0.163961907
1;AA;1;10;1.925973756;1.072823871;26;0.210398071
2;FS;1;10;2.760442697;1.817935057;35;0.30728711
1;FS;1;10;2.398779696;1.321544069;39;0.211616412
4;FS;1;10;3.211933565;1.98662655;31;0.356808662
4;AA;1;10;2.80666065;1.471315908;33;0.256123224
1;AA;25;12;21.76468977;15.80121952;16;3.950304879
2;AA;25;12;25.46667686;14.40164846;17;3.49291281
4;AA;25;12;31.28226796;26.21304032;19;6.013683883
1;FS;25;12;16.32794432;9.60725372;20;2.148247239
2;FS;25;12;23.17566262;19.46341974;14;5.201817731
4;FS;25;12;29.65802347;36.25553215;21;7.911605736
2;AA;10;12;0.506980459;0.268296655;19;0.061551474
4;FS;10;12;1.556568031;0.658102682;17;0.159613345
2;FS;10;12;1.676221932;1.016808702;22;0.216784344
4;AA;10;12;1.2739288;0.711429972;19;0.163213229
1;AA;10;12;0.76524306;0.350233734;22;0.074670083
2;AA;1;12;1.655904998;0.631933487;13;0.175266815
4;FS;1;12;3.250930793;1.505792421;19;0.345452473
4;AA;1;12;3.192416861;2.698251855;17;0.6544222
1;AA;1;12;1.919279885;0.855583702;12;0.24698574
1;FS;1;12;2.741272257;2.27735035;16;0.569337587
2;FS;1;12;2.019482641;0.861736438;12;0.248761882
1;FS;10;12;1.19127926;0.546703633;21;0.119300513
4;FS;25;4;18.40622116;35.18320449;33;6.124609767
1;AA;25;4;2.865492947;2.515650331;19;0.577129767
2;AA;25;4;3.310468463;4.143392132;29;0.769408603
4;AA;25;4;8.141674818;4.946093084;28;0.934723733
1;FS;25;4;1.170499992;1.057118055;27;0.203442465
2;FS;25;4;7.704328559;12.88119061;30;2.351772887
2;FS;10;4;4.200280707;2.092408517;50;0.29591125
4;AA;10;4;3.620813486;2.287720779;42;0.35300298
1;AA;10;4;1.439042979;0.826892222;48;0.119351612
4;FS;10;4;4.47681026;3.130258973;50;0.442685469
1;FS;10;4;2.44288076;1.475041914;49;0.210720273
2;FS;1;4;3.715403653;3.192153376;28;0.603260284
2;AA;1;4;3.137956663;7.672939106;31;1.378100546
1;FS;1;4;3.007308868;1.742911921;39;0.279089268
4;AA;1;4;3.179380188;2.119973955;29;0.393669281
1;AA;1;4;1.934370683;0.690943512;29;0.128304989
4;FS;1;4;4.180695718;2.774880944;31;0.49838333
2;AA;10;4;1.054017742;0.561232938;46;0.082749282
